mwf,-14.74852,129.70152
nam,-14.268,131.237
iar,-7.59133,145.036
waq,-13.8627,131.893
xad,31.6314,-92.0059
sap,-22.11454,-58.90698
gmo,6.57645,37.1381
myd,-4.23908,143.735
yos,25.4364,95.7566
acb,6.66524,11.1087
dgu,25.0461,86.7694
cka,20.5226,93.3656
xss,56.0,94.0
pcr,30.7272,86.8317
szd,1.73885,112.133
npb,27.4301,90.534
bcb,12.5053,-15.9969
ymg,-0.24248,22.3073
ysp,23.847,100.89
mhh,-22.234,-61.901
nts,4.16665,-75.0333
ckk,14.47,-90.99
kox,6.08332,-72.0833
kjf,36.5317,49.576
tzb,16.64,-92.28
ihi,7.00917,6.08581
ayx,27.1213,98.8684
cqu,-23.7036,-67.7604
myq,9.49685,-7.53151
dap,27.3708,93.1284
coy,11.3333,-73.0
xhv,17.402,106.021
lso,18.387,104.518
zrp,45.5627,4.38771
xko,21.0684,101.211
aam,-2.90656,37.3491
pxm,16.92147,-95.67269
tkk,28.1652,88.4254
cdg,21.3532,79.6232
yma,27.6069,87.1309
dkl,14.3617,-3.8795
yrs,-2.21222,139.472
olk,-15.2,142.4
oda,5.20317,8.27253
myt,7.39531,126.409
xmq,-14.2866,141.824
mld,33.0726,69.0719
lay,27.6237,98.4694
put,3.42467,116.443
cno,20.6442,100.904
ctc,42.6864,-124.376
zrg,23.43055,81.33599
lov,25.0833,97.0833
xba,-18.8333,-57.3333
cbe,3.08332,-71.1667
ckc,14.47,-90.99
bpo,-1.73908,137.716
plp,27.8741,83.3928
xbx,-14.2403,-58.9931
stc,-10.6771,165.835
mzx,1.98815,-58.5046
prb,19.1198,101.217
drr,-8.30556,157.767
blg,1.33476,110.913
jbe,30.9,-7.95
btb,3.22265,11.6896
tgv,-11.5816,-37.538
bbx,4.02178,9.22304
adp,27.141,90.3369
mja,21.6558,100.017
gok,21.7726,77.3733
bvp,23.02,103.34
vki,8.97183,6.9861
nsv,23.058,101.412
lrk,26.095,68.715
bmy,-10.0,28.08
sca,21.6402,100.099
guv,9.37513,13.5809
goj,21.5096,77.2647
tgr,15.4928,107.296
tzs,16.64,-92.74
pod,4.83332,-71.5
luu,27.232,87.3146
nrr,27.5088,98.4502
lmm,14.3658,107.336
cti,17.49,-92.47
nxu,-3.43594,139.876
slq,37.0392,47.3487
sik,3.01294,-57.9221
ime,18.37331,-16.34726
ybd,18.524,94.2543
thx,14.6733,106.667
lsg,48.5642,2.36811
cke,14.47,-90.99
ppr,-3.05368,128.197
ckj,14.47,-90.99
pry,19.4306,101.021
faz,29.643,52.925
sdt,44.1692,5.06601
kvs,-17.62553,141.1441
dha,23.0613,83.1644
rmr,40.8339,-3.5144
kfj,22.0603,101.144
cbm,14.47,-90.99
bkg,4.42283,20.7161
puc,3.10143,116.251
xao,21.4543,103.467
prd,32.994,58.624
tzc,16.64,-92.74
tsf,27.5722,84.9036
ibi,7.42662,6.08384
gli,-8.10266,157.564
twm,27.7686,92.1838
wrd,36.6083,71.1475
phw,27.15945,87.35371
sls,1.33069,103.864
bic,-4.86,142.945
kvt,20.1797,97.3791
tyl,22.7528,104.251
okg,-15.82602,141.48016
rie,19.5084,102.591
gtu,-15.0,144.0
geg,8.8956,11.9527
ccq,20.0653,96.2457
tzz,16.64,-92.74
svr,18.7302,84.1414
tbb,-4.99999,-40.3333
gav,-5.8075,146.621
ned,7.065,10.47
kso,9.76068,12.8757
kze,-6.46414,145.66
slj,1.74782,-56.5107
kqh,-2.780485,36.59766
bjq,-20.8687,48.1108
yds,31.7342,34.7818
tmk,27.9087,85.1648
iap,0.97588,-53.3269
thw,27.7678,87.6189
bbz,12.7617,16.6925
xnh,21.9802,101.158
ahr,21.552,73.685
llo,15.6415,106.606
teb,-0.02668,-76.5761
nlr,-20.37356,118.82594
bxx,1.79156,26.0814
mgx,-7.39808,144.005
hva,21.34901,-98.22951
cca,1.267,-69.91
noo,49.6212,-126.086
tnf,38.2267,71.2542
kgh,17.2143,121.202
fom,0.88032,24.3202
uok,7.00611,5.97783
yen,9.0159,12.1396
wiw,-31.6356,131.719
bjd,-30.0771,143.282
toe,3.24999,-69.6666
vlr,-13.83,167.42
cjr,10.8154,-85.1228
whu,1.42088,116.6795
tzu,16.64,-92.74
oun,-15.3,14.35
cbh,3.99999,-74.0
hrr,-3.12875,129.387
cqd,22.5638,101.95
dso,18.965,82.646
otk,37.0,59.0
koj,8.99175,19.9446
ids,7.34629,6.2929
puz,24.662,93.982
myi,23.7425,74.5977
nmj,3.90658,15.2154
kyv,26.6179,87.6042
pgy,26.8613,88.0925
irr,15.7188,106.564
ppa,24.0622,80.9619
puk,20.2551,101.731
ckd,14.47,-90.99
prp,20.625,74.438
kfi,11.3824,76.5256
cum,2.83332,-69.5
weu,27.0457,98.3197
unx,25.0391,87.1792
ckw,14.47,-90.99
yax,-15.821495,21.881345
byy,-4.90828,26.298
njd,-10.5584,38.1253
pbz,18.5,97.1666
nad,-22.85576,120.83057
kav,-8.19121,-70.3822
tlw,-3.29102,128.547
yuu,60.87784,89.74791
bhx,21.2665,77.8268
bso,12.5008,17.6011
lbg,20.7809,100.079
kgm,-2.92,-52.42
kex,20.5657,73.5713
tze,16.64,-92.74
lmh,27.0543,87.2168
tie,12.1797,31.1244
mwj,-7.93095,15.7421
ynh,-1.92218,13.0213
kkn,21.6369,100.278
lii,26.992,87.9992
lau,1.66675,127.583
bqf,9.951,-12.887
nnx,8.78874,13.42855
nom,-8.91666,-73.1667
ont,-6.45912,145.765
kxe,10.8119,5.58853
kwq,6.66524,11.1087
mwx,-2.780485,36.59766
kyp,22.4373,100.671
sxm,13.479,103.978
sgo,-4.01205,26.016
emo,-24.9202,-57.8892
yri,1.43017,-74.3715
adu,7.64567,6.13085
fum,6.66524,11.1087
ome,0.99999,-70.0
rui,-7.99059,38.7133
adb,-8.22674,125.576
btl,22.7174,80.842
baz,4.75,10.67
cki,14.47,-90.99
pob,15.36,-90.58
ckf,14.47,-90.99
mst,7.77188,126.373
npu,25.2973,93.7344
kym,5.17203,21.8594
lba,21.3635,99.6619
gio,26.1545,106.235
urf,-12.0679,142.135
elp,-3.078,128.263
hsf,21.34901,-98.22951
bsv,9.98865,-13.9054
gti,2.98585,28.7911
nbf,27.45988,100.18172
thc,19.1282,104.225
kbf,-39.0488,-72.3228
nmp,-17.374,123.228
nyv,-16.9129,122.851
dyb,-17.18653,122.52306
bcj,-16.6274,122.906
djw,-16.4163,123.186
wwr,-17.0965,123.971
nyh,-17.9594,124.348
ywr,-18.004,122.693
dyd,-17.906,122.408
xnm,-17.491239,122.230025
liu,11.1739,29.8053
shj,10.8525,29.7687
daj,12.2598,25.3127
byg,11.13,25.22
dau,11.9861,22.2013
njl,8.70752,26.1147
djc,12.1187,18.7996
eli,10.2741,30.7306
tlo,10.6453,30.4815
taz,10.8828,30.1567
acz,10.8827,30.3187
dec,10.583,29.9404
jle,10.7194,29.997
lmd,10.8308,30.253
tqr,11.1254,30.341
grx,-3.5718,141.597
dal,-2.1843,40.37
gdl,5.60452,37.4026
dox,5.74987,37.2017
kxc,5.39111,37.53
gax,1.05676,37.882
orc,-1.79489,39.60749
hae,8.67428,41.4395
ssn,0.55656,37.8568
gaz,8.81391,36.7365
ymm,3.22288,43.6182
rel,2.27065,37.3608
tqq,1.06167,43.6847
dbr,1.2179,43.3304
bsw,6.44892,37.7681
jii,1.84353,44.1294
gii,5.76,42.17
som,4.778704,45.152856
gex,2.29633,44.6862
bob,-1.40124,41.234
arv,4.92183,36.7986
dsh,4.58879,35.9888
elo,2.79312,36.7619
gwd,5.37869,37.2737
tsb,5.3097,36.9139
muu,0.46863,37.1008
aar,12.2281,41.8083
ssy,14.75,39.75
bji,4.44624,38.4646
ktb,7.37582,37.9088
alw,7.39014,38.1732
liq,8.09761,38.4997
hdy,7.57377,37.7577
sid,6.74176,38.3729
drs,6.18469,38.2395
